module,final_script_or_workflow,classification,support_scripts,input_artifacts,output_artifacts,paper_location,final_publication_match,provenance_confidence,notes
DATA_CURATION,audit_pipeline.py; audit_or_conflicts.py; apply_audit_fixes.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,manual/external raw-source import; exact final serialization wrapper not uniquely identified,licensed source records,5204 final publication observations,Methods,YES,HIGH,Verified multi-stage count lineage 13252→5449→5307→5264→5234→5204; initial import and final writer wrappers are narrow provenance gaps.
OR_LABEL_GENERATION,integrated historical data-processing logic,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,curation workflow,specific rotation,OR-/OR+ label,Methods,YES,HIGH,Definition: specific rotation <0 → OR−; >0 → OR+. Final counts 3141/2063 verified.
PM_ANNOTATION,pm_calculator_correct.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,none,molecular structure,P/M annotation,Methods,YES,HIGH,Final P/M counts 2763/2441 verified; P/M is downstream annotation rather than an OR-derived rule.
STRUCTURAL_DOMAINS_R01_R41,generate_stereo_invariant_rules.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,ring_neighbor_shared.py,private molecular structures,41 stereochemistry-invariant structural classes,SI Table S1 / Figure S1,YES,HIGH,"Final public-safe 5204 summary: results/structural_domains/structural_rule_table_final_5204.csv; 41 classes, 41/41 final counts/consistencies represented by the final SI table."
PAS_AND_SPAS,compute_signed_pas.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,none,private molecular structures,PAS20 + sPAS20,Methods,YES,HIGH,Recovered publication feature module.
BASELINE_2276,rebuild_features_v2.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,compute_signed_pas.py; pm_calculator_correct.py,private molecular inputs,2276 baseline features,Methods,YES,HIGH,Dimension accounting: 2048 ECFP6 + 167 MACCS + 8 RDKit2D + 20 sPAS + 20 PAS + 10 3D + solvent + dihedral + P/M = 2276.
DIRECTIONAL_GEOMETRY_7,block2_signed_geometry.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,ring_neighbor_shared.py,private structures / conformers,7 direction-sensitive geometry variables,Methods,YES,HIGH,Final seven added geometry features.
SCHEMA_A_2283,verified 2276 baseline + 7 geometry assembly with frozen ordered schema,FINAL_PUBLICATION_VALUE_REPRODUCTION,rebuild_features_v2.py; block2_signed_geometry.py; ring_neighbor_shared.py,private feature-generation inputs,5204×2283 private matrix; public 2283-column schema,Methods,YES,HIGH,The retained feature_calculator.py candidate was non-final and is intentionally excluded; final feature order is frozen in data/features_schema_A/feature_schema.csv.
PRIMARY_GROUPED_CV,_gate9_oof_shap.py; fig4_v2_compute.py; fig13_step2_surfaces.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,none,private 2283 matrix + labels,grouped folds / OOF predictions / fold models,Methods / Results,YES,HIGH,"StratifiedGroupKFold(n_splits=5, shuffle=True, random_state=42), groups canonical structure × solvent."
PRIMARY_MODEL_ARTIFACTS,catboost_schemaA_fold0-4.cbm,FINAL_PUBLICATION_VALUE_REPRODUCTION,fig13_step2_surfaces.py,frozen model binaries,5 public fold models,Methods,YES,HIGH,Five public models verified byte-identical to retained historical and Figure-13-regenerated fold binaries.
