figure,script_or_workflow,support,public_source_artifacts,final_content,lineage_note,final_publication_match
Figure 1,render_fig2_updated_modelB.py,curation + feature-generation source data,dataset_summary.csv; solvent_distribution.csv; feature_schema.csv,dataset composition and 2283-feature representation,Recovered Python renderer; historical filename/output numbering predates final manuscript renumbering,YES
Figure 2,fig4_v2_compute.py; fig4_v2_render.py,benchmark workflow,results/benchmark/model_benchmark_metrics.csv,standard single-model comparison,Recovered compute/render workflow; historical script calls this Fig4,YES
Figure 3,fig4_v2_compute.py; fig4_v2_render.py,primary OOF + geometry ablation,primary_grouped_oof_predictions.csv; geometry_ablation_summary.csv,primary grouped-OOF performance and geometry ablation,Scientific panels reproduced from recovered OOF/ablation workflow; final manuscript layout renumbered,YES
Figure 4,_gate9_oof_shap.py; _si_fig5_stylelock.py,global TreeSHAP + dependence-source workflow,global_shap_summary.csv; SHAP dependence CSVs,global OOF TreeSHAP and representative dependence panels,Scientific source workflow resolved; final multi-panel layout may differ from historical filenames,YES
Figure 5,SERVER_compute_oof_interaction_v2.py; SERVER_D3FULL_standalone.py,interaction computation/stability,interaction pair/rank/stability tables,pairwise SHAP interaction analysis and stability,Scientific interaction workflow resolved; final panel assembly uses recovered interaction outputs,YES
Figure 6,scaffold_validation_stage2_rerun_server.py; run_scaffold_validation_patch_v3.py,scaffold-disjoint validation,SCAFFOLD_SPLIT_RESULTS_FINAL.csv; scaffold_disjoint_auc_by_split.csv,10 repeated scaffold-disjoint AUCs,Scientific validation/source data resolved; final plot is a direct rendering of frozen split-level AUCs,YES
Figure S1,generate_stereo_invariant_rules.py,structural-domain rule workflow,structural_rule_table.csv; licensed representative structures excluded,representative molecules/scaffolds for R01-R41,Rule/count workflow public; licensed structure panels are not redistributed,YES
Figure S2,retained DFT-assisted case documentation,no complete conformer-level DFT rerun workflow retained,final SI DFT case documentation,three recoverable DFT-assisted diagnostic cases,Documentation figure; no claim of complete public DFT recalculation,YES
Figure S3,fig4_v2_compute.py; fig4_v2_render.py,extended benchmark,model_benchmark_metrics.csv,extended single-model + SuperLearner comparison,Recovered benchmark workflow,YES
Figure S4,d2_calibration.py,calibration workflow,calibration_summary.csv,10-bin reliability diagram and calibration statistics,Recovered calibration workflow,YES
Figure S5,_si_fig5_stylelock.py,OOF SHAP dependence workflow,10 public dependence CSVs,additional SHAP dependence panels,Recovered renderer/source tables,YES
Figure S6,fig7_10_step4_fig10_network.py,interaction network renderer,global SHAP + interaction pair table,feature-impact / interaction network,Recovered renderer; historical script output called Fig10,YES
Figure S7,fig7_10_step1_render.py; SERVER_D3FULL_standalone.py,selected pairwise interaction / stability workflow,interaction ranking and stability tables,ten selected sample-level pairwise interaction panels,Scientific workflow resolved; historical numbering differs,YES
Figure S8,render_fig11_v3.py; fig7_10_step3_fig8_beeswarm.py,local OOF SHAP heatmap workflow,OOF SHAP subset source data,sample-by-feature SHAP heatmap,Recovered local SHAP rendering workflow; historical figure numbers differ,YES
Figures S9.1-S9.10,render_fig12_native_stylelock.py,native SHAP force-plot workflow,OOF SHAP sample-level attributions,ten force plots,Recovered force-plot infrastructure; final sample selection/layout documented,YES
Figure S10,fig13_step2_surfaces.py; fig13_v3_step7_batch_all_pairs.py,conditional-surface workflow,fold models + surface grids,six conditional P(OR+) surfaces,Recovered computation and batch renderer; historical script labels Fig13,YES
