script_filename,relative_path,classification,publication_module,final_publication_match,notes
baseline_features.py,scripts/historical/nonfinal/baseline_features.py,HISTORICAL_DEVELOPMENT_SCRIPT,feature_generation,NO,Non-final placeholder/development implementation; intentionally excluded from final Schema A lineage.
SERVER_D3FULL_standalone.py,scripts/original/SERVER_D3FULL_standalone.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,interaction,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
pm_calculator_correct.py,scripts/original/annotation/pm_calculator_correct.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,annotation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig4_v2_compute.py,scripts/original/benchmark/fig4_v2_compute.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,benchmark,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig13_step2_surfaces.py,scripts/original/conditional_surfaces/fig13_step2_surfaces.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,conditional_surfaces,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
apply_audit_fixes.py,scripts/original/data_curation/apply_audit_fixes.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,data_curation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
audit_or_conflicts.py,scripts/original/data_curation/audit_or_conflicts.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,data_curation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
audit_pipeline.py,scripts/original/data_curation/audit_pipeline.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,data_curation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
block2_signed_geometry.py,scripts/original/feature_generation/block2_signed_geometry.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,feature_generation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
compute_signed_pas.py,scripts/original/feature_generation/compute_signed_pas.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,feature_generation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
rebuild_features_v2.py,scripts/original/feature_generation/rebuild_features_v2.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,feature_generation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
ring_neighbor_shared.py,scripts/original/feature_generation/ring_neighbor_shared.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,feature_generation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig13_v3_step3_recompute_and_render.py,scripts/original/figures/main/fig13_v3_step3_recompute_and_render.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig4_v2_render.py,scripts/original/figures/main/fig4_v2_render.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
render_fig11_v3.py,scripts/original/figures/main/render_fig11_v3.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
render_fig12_native_stylelock.py,scripts/original/figures/main/render_fig12_native_stylelock.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
render_fig2_updated_modelB.py,scripts/original/figures/main/render_fig2_updated_modelB.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
render_fig6_v3.py,scripts/original/figures/main/render_fig6_v3.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_main,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
_si_fig5_stylelock.py,scripts/original/figures/supporting_information/_si_fig5_stylelock.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig13_v3_step7_batch_all_pairs.py,scripts/original/figures/supporting_information/fig13_v3_step7_batch_all_pairs.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig7_10_step1_render.py,scripts/original/figures/supporting_information/fig7_10_step1_render.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig7_10_step3_fig8_beeswarm.py,scripts/original/figures/supporting_information/fig7_10_step3_fig8_beeswarm.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
fig7_10_step4_fig10_network.py,scripts/original/figures/supporting_information/fig7_10_step4_fig10_network.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
render_figs1_4_modelB.py,scripts/original/figures/supporting_information/render_figs1_4_modelB.py,ORIGINAL_FINAL_PUBLICATION_SUPPORT_MODULE,figures_supporting_information,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
SERVER_compute_oof_interaction_v2.py,scripts/original/interaction/SERVER_compute_oof_interaction_v2.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,interaction,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
task1_canonical_smiles_grouped_oof.py,scripts/original/molecule_disjoint/task1_canonical_smiles_grouped_oof.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,molecule_disjoint,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
run_scaffold_validation_patch_v3.py,scripts/original/scaffold_validation/run_scaffold_validation_patch_v3.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,scaffold_validation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
scaffold_validation_stage2_rerun_server.py,scripts/original/scaffold_validation/scaffold_validation_stage2_rerun_server.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,scaffold_validation,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
_gate9_oof_shap.py,scripts/original/shap/_gate9_oof_shap.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,shap,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
d1_paired_bootstrap.py,scripts/original/statistics/d1_paired_bootstrap.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,statistics,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
d2_calibration.py,scripts/original/statistics/d2_calibration.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,statistics,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
generate_stereo_invariant_rules.py,scripts/original/structural_domains/generate_stereo_invariant_rules.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,structural_domains,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
ring_neighbor_shared.py,scripts/original/structural_domains/ring_neighbor_shared.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,structural_domains,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
run_v27_superlearner.py,scripts/original/superlearner/run_v27_superlearner.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,superlearner,YES,Recovered historical publication code; original filenames retained and private inputs are not redistributed.
01_verify_primary_oof_metrics.py,scripts/reproduction/01_verify_primary_oof_metrics.py,FINAL_PUBLICATION_VALUE_REPRODUCTION,verification,YES,Recalculates frozen public metrics; no private structures required.
02_verify_molecule_disjoint_metrics.py,scripts/reproduction/02_verify_molecule_disjoint_metrics.py,FINAL_PUBLICATION_VALUE_REPRODUCTION,verification,YES,Recalculates frozen public metrics; no private structures required.
03_verify_scaffold_disjoint_results.py,scripts/reproduction/03_verify_scaffold_disjoint_results.py,FINAL_PUBLICATION_VALUE_REPRODUCTION,verification,YES,Recalculates frozen public metrics; no private structures required.
04_train_publication_schemaA_grouped_cv.py,scripts/reproduction/04_train_publication_schemaA_grouped_cv.py,RECONSTRUCTED_REPRODUCTION_SCRIPT,primary_training,YES,Reference grouped-CV implementation requiring private inputs; not the historical root persistence entry point.
